accelx,accely,accelz,gyrox,gyroy,gyroz,time
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.64749e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
        0,0,0,0,0,0,6.6475e+06
